,precision,recall,f1-score,support
top,0.75,0.8823529411764706,0.8108108108108109,17.0
trouser,0.9444444444444444,1.0,0.9714285714285714,17.0
dress,0.8666666666666667,0.7647058823529411,0.8125,17.0
outerwear,0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0
footwear,0.8888888888888888,0.9411764705882353,0.9142857142857143,17.0
bag,0.9375,0.9375,0.9375,16.0
accuracy,0.8811881188118812,0.8811881188118812,0.8811881188118812,0.8811881188118812
macro avg,0.8860119047619047,0.8817401960784313,0.8808724623240752,101.0
weighted avg,0.8855021216407355,0.8811881188118812,0.8803117936342145,101.0
