,precision,recall,f1-score,support
top,0.6842105263157895,0.7647058823529411,0.7222222222222222,17.0
trouser,0.8421052631578947,0.9411764705882353,0.8888888888888888,17.0
dress,0.7333333333333333,0.6470588235294118,0.6875,17.0
outerwear,0.7,0.8235294117647058,0.7567567567567568,17.0
footwear,0.9375,0.8823529411764706,0.9090909090909091,17.0
bag,1.0,0.75,0.8571428571428571,16.0
accuracy,0.801980198019802,0.801980198019802,0.801980198019802,0.801980198019802
macro avg,0.8161915204678363,0.801470588235294,0.8036002723502723,101.0
weighted avg,0.8143716345318743,0.801980198019802,0.8030701477483654,101.0
